geoid,county,county_raw_x,incidence_rate_raw,average_annual_cases_raw,incidence_lower_ci_raw,incidence_upper_ci_raw,incidence_rate,average_annual_cases,incidence_lower_ci,incidence_upper_ci,incidence_suppressed,cancer_site,stage,period,sex,county_raw_y,mortality_rate_raw,average_annual_deaths_raw,mortality_lower_ci_raw,mortality_upper_ci_raw,mortality_rate,average_annual_deaths,mortality_lower_ci,mortality_upper_ci,mortality_suppressed,fips,population_2020,rucc_2023,rucc_description,metro_status,rurality_3_level,rurality_ordinal,uninsured_percent,uninsured_lower_ci,uninsured_upper_ci,high_blood_pressure_percent,high_blood_pressure_lower_ci,high_blood_pressure_upper_ci,annual_checkup_percent,annual_checkup_lower_ci,annual_checkup_upper_ci,smoking_percent,smoking_lower_ci,smoking_upper_ci,depression_percent,depression_lower_ci,depression_upper_ci,diabetes_percent,diabetes_lower_ci,diabetes_upper_ci,food_insecurity_percent,food_insecurity_lower_ci,food_insecurity_upper_ci,transportation_barriers_percent,transportation_barriers_lower_ci,transportation_barriers_upper_ci,physical_inactivity_percent,physical_inactivity_lower_ci,physical_inactivity_upper_ci,mammography_percent,mammography_lower_ci,mammography_upper_ci,frequent_mental_distress_percent,frequent_mental_distress_lower_ci,frequent_mental_distress_upper_ci,obesity_percent,obesity_lower_ci,obesity_upper_ci,incidence_reportable,mortality_reportable,both_rates_reportable,neither_rate_reportable,surveillance_availability,incidence_difference_from_ohio,mortality_difference_from_ohio,incidence_vs_ohio,mortality_vs_ohio,population_group
39003,Allen,Allen County(2),11,7,7.4,15.8,11,7,7.4,15.8,FALSE,Ovary,All stages,2018–2022,Female,Allen County,5.8,4,3.5,9.1,5.8,4,3.5,9.1,FALSE,39003,102206,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,7.4,6.6,8.3,35,31.5,38.6,74.1,70.6,77.5,22.5,20.2,25,27.7,24.5,31.2,12.9,11.4,14.5,14.1,12.6,15.8,9.7,8.8,10.7,30.6,27.1,34.5,71.9,65.2,78.2,21.6,19.8,23.7,47.1,42,52.4,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1.1999999999999993,0,Above Ohio point estimate,Equal to Ohio point estimate,"100,000–249,999"
39021,Champaign,Champaign County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Champaign County,*,3 or fewer,*,*,,3,,,TRUE,39021,38714,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.9,7.9,10.1,32.2,28.3,36.4,75.8,71.8,79.7,19,16.7,21.4,27.6,23.8,31.8,11.1,9.6,12.7,12.8,11.4,14.4,8.2,7.4,9,25.2,21.2,29.4,76.4,69,82.9,20.7,18.8,22.7,39.7,32.2,47.5,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39095,Lucas,Lucas County(2),8.5,23,6.9,10.3,8.5,23,6.9,10.3,FALSE,Ovary,All stages,2018–2022,Female,Lucas County,7.1,20,5.8,8.7,7.1,20,5.8,8.7,FALSE,39095,431279,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,7.7,6.9,8.7,33.5,30.6,36.4,79.5,76.8,82.1,19.8,17.8,21.9,27.9,25.1,30.9,12.8,11.5,14.3,15.3,13.8,17,10.1,9.2,11.1,27.2,24.4,30.1,73.8,67.7,79.3,21.6,19.8,23.4,42.4,38.6,46.4,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-1.3000000000000007,1.2999999999999998,Below Ohio point estimate,Above Ohio point estimate,"250,000 or more"
39073,Hocking,Hocking County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Hocking County,*,3 or fewer,*,*,,3,,,TRUE,39073,28050,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,10.1,8.9,11.3,34,30.3,38,75.6,71.8,79.3,25,22.5,27.8,28.3,24.7,32.2,12.8,11.2,14.5,14,12.5,15.6,9.1,8.2,10,31,27,35.3,70.6,62.5,77.7,23.1,21.1,25.2,42.7,36.4,49.4,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39059,Guernsey,Guernsey County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Guernsey County,*,3 or fewer,*,*,,3,,,TRUE,39059,38438,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,11.2,9.9,12.5,35.2,31.3,39,77.2,73.5,80.5,24.4,21.7,27,30.5,26.6,34.3,12.3,10.7,13.9,15.6,13.9,17.4,10.1,9.2,11.2,30.3,26.2,34.4,74.4,66.9,80.9,22.8,20.7,24.8,41.5,35.2,47.6,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39147,Seneca,Seneca County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Seneca County,*,3 or fewer,*,*,,3,,,TRUE,39147,55069,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8,7.1,8.8,31.9,27.9,35.9,77.2,73.8,80.4,22.4,20.1,25,27.8,24.4,31.5,12.1,10.7,13.7,10.9,9.7,12.3,7.6,6.9,8.4,28.5,24.8,32.5,71.7,63.9,78.4,21.5,19.7,23.5,47.1,41.1,53.2,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"50,000–99,999"
39049,Franklin,Franklin County(2),8.5,60,7.5,9.5,8.5,60,7.5,9.5,FALSE,Ovary,All stages,2018–2022,Female,Franklin County,5.4,40,4.7,6.2,5.4,40,4.7,6.2,FALSE,39049,1323807,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,8.3,7.4,9.2,31.2,28.4,33.7,76.8,74.2,79.1,14.6,13.1,16.1,24.1,21.8,26.4,11.8,10.6,13,12.7,11.5,14.1,8.5,7.7,9.3,23.3,20.9,25.6,77.8,72.6,82.4,17.8,16.2,19.2,36.1,32.8,39.4,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-1.3000000000000007,-0.39999999999999947,Below Ohio point estimate,Below Ohio point estimate,"250,000 or more"
39153,Summit,Summit County(2),9,32,7.6,10.6,9,32,7.6,10.6,FALSE,Ovary,All stages,2018–2022,Female,Summit County,4.9,21,4,6,4.9,21,4,6,FALSE,39153,540428,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,7.2,6.5,8.1,30.7,27.9,33.7,76.2,73.3,78.8,17.5,15.8,19.3,26,23.3,28.7,11.2,10,12.5,12.8,11.5,14.3,8.5,7.7,9.4,23.5,20.9,26.2,71.6,65.4,77,19.3,17.7,20.9,39.5,35.5,43.4,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-0.8000000000000007,-0.8999999999999995,Below Ohio point estimate,Below Ohio point estimate,"250,000 or more"
39173,Wood,Wood County(2),9.8,7,6.8,13.7,9.8,7,6.8,13.7,FALSE,Ovary,All stages,2018–2022,Female,Wood County,6.3,6,4.2,9.3,6.3,6,4.2,9.3,FALSE,39173,132248,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,6.2,5.5,7,31.4,28.1,35,77.2,74,80.3,15.7,14,17.7,26.1,23,29.4,10.6,9.4,12,10,8.8,11.3,7,6.3,7.7,23.5,20.5,26.8,76.2,69.4,81.9,19.2,17.5,20.9,35.7,30.7,41.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,0,0.5,Equal to Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39013,Belmont,Belmont County(2),12.1,5,7.6,18.6,12.1,5,7.6,18.6,FALSE,Ovary,All stages,2018–2022,Female,Belmont County,7.6,4,4.4,12.7,7.6,4,4.4,12.7,FALSE,39013,66497,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,8.8,7.8,9.9,32.6,29.2,36.2,76,72.6,79.2,23.2,20.8,25.6,28.1,24.9,31.5,12.2,10.7,13.7,15.6,13.9,17.3,9.8,8.9,10.8,31.2,27.6,34.9,72.9,66.4,78.9,21.9,20,23.9,43,37.9,48.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,2.299999999999999,1.7999999999999998,Above Ohio point estimate,Above Ohio point estimate,"50,000–99,999"
39089,Licking,Licking County(2),10.4,11,7.7,13.7,10.4,11,7.7,13.7,FALSE,Ovary,All stages,2018–2022,Female,Licking County,6.7,9,4.8,9.2,6.7,9,4.8,9.2,FALSE,39089,178519,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,7.9,7.1,8.8,30.8,27.4,34.3,76.7,72.9,80,19.9,17.6,22.1,26.6,23,30.1,10.8,9.4,12.3,10.4,9.2,11.7,7.5,6.8,8.3,24.7,21,28.4,76,68.6,82.1,20.3,18.5,22.2,36,30.1,41.8,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,0.5999999999999996,0.9000000000000004,Above Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39165,Warren,Warren County(2),11.1,16,8.7,13.9,11.1,16,8.7,13.9,FALSE,Ovary,All stages,2018–2022,Female,Warren County,6,9,4.3,8.1,6,9,4.3,8.1,FALSE,39165,242337,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,5,4.5,5.7,28.8,25.4,32.4,78.4,74.9,81.6,13.4,11.8,15.1,22.6,19.5,26,9.9,8.6,11.2,7.3,6.5,8.2,5.5,5,6,20.8,17.7,24.1,79.1,72.6,84.6,17,15.4,18.7,34.1,28.4,40,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1.299999999999999,0.20000000000000018,Above Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39119,Muskingum,Muskingum County(2),11.9,7,8.2,16.8,11.9,7,8.2,16.8,FALSE,Ovary,All stages,2018–2022,Female,Muskingum County,7.2,5,4.5,11.1,7.2,5,4.5,11.1,FALSE,39119,86410,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.1,6.3,7.9,35.9,32.4,39.3,77.9,74.5,80.8,19.6,17.5,21.7,26.8,23.5,30,11.8,10.3,13.2,14.5,12.8,16,9.4,8.5,10.3,27.3,23.8,30.6,74.6,67.3,80.4,20.2,18.3,21.9,41.2,36.1,46,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,2.0999999999999996,1.4000000000000004,Above Ohio point estimate,Above Ohio point estimate,"50,000–99,999"
39139,Richland,Richland County(2),9.1,8,6.2,12.9,9.1,8,6.2,12.9,FALSE,Ovary,All stages,2018–2022,Female,Richland County,4.6,5,2.8,7.2,4.6,5,2.8,7.2,FALSE,39139,124936,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,9.9,8.8,11,33,29.4,36.3,76,72.6,79.3,18.6,16.6,20.7,27.3,24.1,30.8,12,10.5,13.5,17.6,15.9,19.6,10.9,9.9,11.9,26,22.7,29.4,69.3,62,76,20.5,18.7,22.4,39.8,34.7,45.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-0.7000000000000011,-1.2000000000000002,Below Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39163,Vinton,Vinton County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Vinton County,*,3 or fewer,*,*,,3,,,TRUE,39163,12800,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,12.6,11.2,14,37.2,32.8,41.6,75.3,71.3,79.2,26.5,23.7,29.5,30.2,26.2,34.5,12.8,11.2,14.6,18.2,16.4,20.3,11.4,10.4,12.6,32.5,28.1,37.5,66.9,58,75.2,24,21.8,26.2,41.2,33.9,49.2,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39027,Clinton,Clinton County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Clinton County,*,3 or fewer,*,*,,3,,,TRUE,39027,42018,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.7,6.8,8.6,32.9,29.1,36.8,76.9,73,80.5,22.6,20.1,25.3,27.9,24,31.9,12,10.4,13.6,14,12.4,15.8,9.2,8.3,10.2,29.3,24.9,33.9,73.9,65.7,80.8,22.5,20.4,24.6,41.6,34.2,49.3,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39115,Morgan,Morgan County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Morgan County,*,3 or fewer,*,*,,3,,,TRUE,39115,13802,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,9.8,8.7,11,35.5,31.5,39.8,76.8,73,80.5,19.3,17.2,21.7,28.1,24.3,32.3,11.8,10.4,13.5,19.2,17.3,21.3,12.2,11.1,13.4,26.4,22.5,30.8,72.3,64.4,79.6,21.5,19.5,23.6,41.8,34.7,49.7,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39131,Pike,Pike County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Pike County,*,3 or fewer,*,*,,3,,,TRUE,39131,27088,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3,11,9.8,12.4,35.3,31.4,39.2,77.6,73.9,81,25.1,22.5,27.7,31,27.1,35.1,13.3,11.7,15.1,18.8,16.8,20.9,11.7,10.6,12.9,31.4,27.2,35.8,69.2,61.3,76.7,23.4,21.4,25.5,40.6,34.2,47.4,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39099,Mahoning,Mahoning County(2),10.9,19,8.6,13.6,10.9,19,8.6,13.6,FALSE,Ovary,All stages,2018–2022,Female,Mahoning County,6.2,12,4.6,8.1,6.2,12,4.6,8.1,FALSE,39099,228614,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,9.3,8.3,10.4,31.2,27.8,34.5,77,73.7,80.1,21.6,19.4,24,25.6,22.6,28.9,12.5,11.1,14.1,17.3,15.5,19.1,10.4,9.5,11.5,27.9,24.6,31.5,76.7,70.6,82.1,20.9,19.1,22.8,39.7,35,44.8,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1.0999999999999996,0.40000000000000036,Above Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39001,Adams,Adams County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Adams County,*,3 or fewer,*,*,,3,,,TRUE,39001,27477,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,10.2,9,11.4,35.3,31.5,39,76.5,72.5,80.1,24,21.3,26.7,29.7,25.8,33.8,13.2,11.5,14.9,15.8,14,17.6,9.8,8.8,10.8,30.3,26,34.7,72.4,64.7,79.3,23.2,21.1,25.4,45.2,37.9,52.6,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39081,Jefferson,Jefferson County(2),9.7,5,5.8,15.4,9.7,5,5.8,15.4,FALSE,Ovary,All stages,2018–2022,Female,Jefferson County,6.7,4,4,11.1,6.7,4,4,11.1,FALSE,39081,65249,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,8.6,7.6,9.7,33.2,29.7,36.7,78.7,75.3,81.7,20.9,18.6,23.1,27.3,23.9,30.8,11.1,9.8,12.6,15.4,13.8,17.1,9.7,8.8,10.7,26.1,22.7,29.7,72,64.8,78.5,20.8,19,22.7,40.1,34.7,45.5,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-0.10000000000000142,0.9000000000000004,Below Ohio point estimate,Above Ohio point estimate,"50,000–99,999"
39143,Sandusky,Sandusky County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Sandusky County,*,3 or fewer,*,*,,3,,,TRUE,39143,58896,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.6,7.6,9.6,32.4,28.9,36,74.8,71,78.4,21,18.7,23.5,27,23.4,30.7,12.1,10.6,13.7,13.4,11.9,15.1,8.8,7.9,9.7,28.5,24.6,32.6,74.7,67.1,81.3,20.8,18.9,22.8,42.2,35.8,48.7,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"50,000–99,999"
39135,Preble,Preble County(2),10.5,3,6,17.8,10.5,3,6,17.8,FALSE,Ovary,All stages,2018–2022,Female,Preble County,*,3 or fewer,*,*,,3,,,TRUE,39135,40999,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,6.9,6,7.8,32.4,28.2,36.5,76,71.6,80,21.6,19,24.3,27.8,23.6,32.2,11.4,9.8,13.2,12.3,10.9,13.7,8.3,7.5,9.1,26.4,22,30.9,73.7,64.9,81.1,20.8,18.8,23,38.5,30.4,46.5,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,0.6999999999999993,,Above Ohio point estimate,Suppressed or unavailable,"Less than 50,000"
39015,Brown,Brown County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Brown County,*,3 or fewer,*,*,,3,,,TRUE,39015,43676,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,8.3,7.3,9.3,31.9,28.3,35.7,76.1,72.2,79.6,22.6,20.2,25.1,27.2,23.6,31,11.5,10,13.1,16.2,14.4,18,10.3,9.3,11.3,30.2,26.2,34.3,74,66.6,80.4,21.8,19.9,23.9,42.6,36.3,49.1,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
